rank,story,url,index,pos,neg,neu,comp,source,date,hour
1,"Martha Stewart, 81, becomes OLDEST woman to ever land Sports Illustrated Swimsuit cover, wowing in a very low-cut white bathing suit - while Megan Fox, 36, dares to bare in a raunchy design made entirely of CHAINS
",https://www.dailymail.co.uk/femail/article-12085237/Sports-Illustrated-Swimsuit-2023-Martha-Stewart-81-Megan-Fox-36-pose-cover.html,0,0.177,0.025,0.797,0.9994,Daily Mail,2023-05-16,8
2,"Apple's next major product is 'so good', expert claims - and we could get a glimpse at it within WEEKS
",https://www.dailymail.co.uk/sciencetech/article-12084369/Apples-major-product-good-expert-claims-glimpse-WEEKS.html,1,0.079,0.014,0.908,0.9971,Daily Mail,2023-05-16,8
3,"What 10 American cities will look like in 2050, predicted by AI: DailyMail.com asks AI to imagine future cities reshaped by tech such as flying cars and solar power
",https://www.dailymail.co.uk/sciencetech/article-12068585/What-10-American-cities-look-like-2050-predicted-AI.html,2,0.177,0.013,0.809,0.9977,Daily Mail,2023-05-16,8
4,"'She made bad decisions because she was on chemo drugs': Husband and daughters of missing Colorado mom Suzanne Morphew break their silence three years after she vanished and murder charges against him were dropped
",https://www.dailymail.co.uk/news/article-12085081/Missing-mom-Suzanne-Morphews-daughters-husband-Barry-break-silence.html,3,0.055,0.118,0.827,-0.9983,Daily Mail,2023-05-16,8
5,"Flesh-eating zombie drug 'tranq' takes over LA streets as users with rotting skin are seen hunched over and spaced out across the city - while officials say they can't ban it because it's LEGAL 
",https://www.dailymail.co.uk/news/article-12083305/Flesh-eating-zombie-drug-tranq-takes-LA-streets-users-rotting-skin-seen.html,4,0.051,0.141,0.809,-0.9995,Daily Mail,2023-05-16,8
6,"Bali holidaymaker, 19, left sobbing in the street after 'dream' tattoo went very wrong: 'I hate it'
",https://www.dailymail.co.uk/femail/real-life/article-12083263/OnlyFans-star-cries-tattoo-design-Bali-gone-wrong.html,5,0.14,0.113,0.747,0.9533,Daily Mail,2023-05-16,8
7,"Netflix leave viewers 'utterly devastated' as the streaming service cancels supernatural series after just one season
",https://www.dailymail.co.uk/tvshowbiz/article-12085187/Netflix-leaves-viewers-utterly-devastated-streaming-service-cancels-supernatural-series.html,6,0.133,0.092,0.775,0.9259,Daily Mail,2023-05-16,8
8,"And you thought Lori Lightfoot was a nightmare! Chicago's new woke mayor is signed in and vows to tax the rich and big business to pay for progressive agenda - as major firms vow to PULL OUT of city
",https://www.dailymail.co.uk/news/article-12085411/Major-firms-threaten-PULL-Chicago-new-mayor-signed-in.html,7,0.082,0.112,0.806,-0.9926,Daily Mail,2023-05-16,8
9,"'It's time beer made it up to women': Miller Lite APOLOGIZES for using women in bikinis to sell beer after campaigns featuring Sofia Vergara, Meghan Markle and Pamela Anderson: New ad echoes woke Dylan Mulvaney controversy 
",https://www.dailymail.co.uk/news/article-12086629/Miller-Lite-APOLOGIZES-using-women-bikinis-sell-beer.html,8,0.078,0.051,0.871,0.9916,Daily Mail,2023-05-16,8
10,"Britney Spears and Sam Asghari's marriage 'is in deep trouble' with the pop star 'getting physical' and having 'screaming matches' with her husband 
",https://www.dailymail.co.uk/tvshowbiz/article-12084673/Britney-Spears-Sam-Asgharis-marriage-deep-trouble.html,9,0.099,0.054,0.847,0.9849,Daily Mail,2023-05-16,8
